"PRODUCT_ID","STORE_ID","CURRENT_KPI"
"X001",1201,40952.1160650587
"X001",1202,32342.4171014477
"X001",1203,41041.7899157701
"X001",1204,36322.9348024436
"X001",1205,32269.6463220084
"X001",1206,41837.5422752779
"X001",1207,36375.2402628899
"X001",1208,36421.2763104186
"X001",1209,37603.1685639168
"X001",1210,38856.1104292389
"X001",1211,39923.830639364
"X001",1212,40785.9116996182
"X001",1213,36472.8152369049
"X001",1214,37698.0151250731
"X001",1215,31181.6881031795
"X001",1216,39949.2225266688
"X001",1217,36343.5035590273
"X001",1218,33944.1292707348
"X001",1219,29613.3980267842
"X001",1220,41864.7588680537
"X001",1221,38849.8431148287
"X001",1222,36389.1412083644
"X001",1223,33838.442517446
"X001",1224,37652.4582644882
"X001",1225,30992.926929999
"X001",1226,29487.455641337
"X001",1227,41198.1758431966
"X001",1228,38907.9103947867
"X001",1229,38722.4439055238
"X001",1230,32403.6579212931
"X001",1231,37733.3661852623
"X001",1232,33597.8107076299
"X001",1233,29714.0383503285
"X001",1234,39971.2902385389
"X001",1235,29560.2942681176
"X001",1236,36505.3857083185
"X001",1237,32311.6702276632
"X001",1238,42101.1990539037
"X001",1239,39845.5985896442
"X001",1240,42029.7659592786
"X001",1241,31140.2096159839
"X001",1242,37609.7743752001
"X001",1243,40897.6685477577
"X001",1244,30918.5701668004
"X001",1245,32460.1029507839
"X001",1246,39003.9218845842
"X001",1247,41911.2370935225
"X001",1248,37524.5302350737
"X001",1249,32259.58343613
"X001",1250,32485.314422183
"X001",1251,38800.1577444614
"X001",1252,41954.553938163
"X001",1253,33618.4453996902
"X001",1254,34903.9688992544
"X001",1255,35235.6742288166
"X001",1256,29733.665746118
"X001",1257,37750.1141194374
"X001",1258,36488.9646533382
"X001",1259,41789.1007596931
"X001",1260,37729.9754524778
"X001",1261,32470.2431722578
"X001",1262,32524.0384634524
"X001",1263,29605.0242692332
"X001",1264,35108.3374499043
"X001",1265,36445.3252810986
"X001",1266,41715.0606147462
"X001",1267,36409.2822359747
"X001",1268,38745.2945960696
"X001",1269,41603.5231129151
"X001",1270,42098.195063318
"X001",1271,41255.1839295522
"X001",1272,31100.4613287061
"X001",1273,31165.0257479651
"X001",1274,41219.7192644334
"X001",1275,29589.7910940479
"X001",1276,37547.9178103826
"X001",1277,29716.9601476465
"X001",1278,30901.0057765911
"X001",1279,32529.3009633642
"X001",1280,39909.6257929237
"X001",1281,31017.1970209843
"X001",1282,34998.4349734452
"X001",1283,29572.7477834909
"X001",1284,31061.3448503691
"X001",1285,29631.805784468
"X001",1286,32445.8673218335
"X001",1287,29589.2604048895
"X001",1288,37708.8268096094
"X001",1289,30940.3692867872
"X001",1290,40104.6163916887
"X001",1291,29763.5246681677
"X001",1292,39846.6467312388
"X001",1293,37767.9622464127
"X001",1294,33934.8832390468
"X001",1295,29603.4342762899
"X001",1296,41982.4970143139
"X001",1297,38677.3623517878
"X001",1298,31068.7279921752
"X001",1299,40164.1268778226
"X001",1300,41939.962027884
"X002",1201,50592.3329304133
"X002",1202,63106.4436660094
"X002",1203,50742.1515323401
"X002",1204,64325.2136763545
"X002",1205,41680.5808229552
"X002",1206,64421.9792880418
"X002",1207,50697.6873654121
"X002",1208,65837.778255696
"X002",1209,54498.6797286425
"X002",1210,64388.0825637324
"X002",1211,65609.4915437146
"X002",1212,64430.9969534796
"X002",1213,65792.2943303788
"X002",1214,60786.5495303935
"X002",1215,46334.8800994603
"X002",1216,63037.9280831143
"X002",1217,60924.1529283677
"X002",1218,65493.0496512919
"X002",1219,64223.0646253277
"X002",1220,65160.3342861337
"X002",1221,60977.5165118948
"X002",1222,65528.8545679575
"X002",1223,65316.1438438418
"X002",1224,58039.8090967432
"X002",1225,41853.586036267
"X002",1226,65579.1660477292
"X002",1227,41709.4281281848
"X002",1228,60863.5966625412
"X002",1229,65187.6637598312
"X002",1230,58120.6301507402
"X002",1231,65389.7059557553
"X002",1232,65572.9465720805
"X002",1233,57951.5150447217
"X002",1234,64396.8514757179
"X002",1235,41661.9604712847
"X002",1236,65364.6148552372
"X002",1237,41762.8710546512
"X002",1238,54497.5205495887
"X002",1239,65068.5492124836
"X002",1240,62824.144382976
"X002",1241,54560.0779832204
"X002",1242,57973.2433585487
"X002",1243,64932.6032138637
"X002",1244,65641.5061543093
"X002",1245,57952.7523953479
"X002",1246,57996.4937849925
"X002",1247,54434.0760194796
"X002",1248,64411.5404601959
"X002",1249,62822.0934284909
"X002",1250,65684.07233061
"X002",1251,65910.7946059865
"X002",1252,50538.7407040424
"X002",1253,41596.8730410443
"X002",1254,54399.3986084489
"X002",1255,64304.7234647217
"X002",1256,50557.6705790491
"X002",1257,54767.72066128
"X002",1258,64596.2623641213
"X002",1259,65093.3800494215
"X002",1260,41676.600844319
"X002",1261,46269.6446486226
"X002",1262,63000.2355926364
"X002",1263,54695.9723975826
"X002",1264,64210.6905904177
"X002",1265,65496.985646722
"X002",1266,50695.9497751166
"X002",1267,64451.2178628349
"X002",1268,65629.4315060284
"X002",1269,65446.5923086618
"X002",1270,41508.864034056
"X002",1271,41756.0272436592
"X002",1272,50562.7973592765
"X002",1273,54714.8791106259
"X002",1274,60893.3859859954
"X002",1275,60861.5653142545
"X002",1276,46251.1546865583
"X002",1277,58293.1015668852
"X002",1278,41510.0399838512
"X002",1279,60956.1909772518
"X002",1280,62954.9264253577
"X002",1281,65293.0912337548
"X002",1282,54520.0211914154
"X002",1283,60855.9265109103
"X002",1284,63091.9572252842
"X002",1285,46286.2833158829
"X002",1286,63116.6912523758
"X002",1287,64248.0259827017
"X002",1288,64330.4907191681
"X002",1289,65649.8182756652
"X002",1290,54601.5714977916
"X002",1291,41664.0278688389
"X002",1292,65303.2771395302
"X002",1293,62983.8547888043
